played_at,track_name,artist_name,track_duration_ms,playlist_name,popularity,artist_genres,album_name,album_release_date,track_id,album_id,artist_ids,playlist_id
2024-08-27 09:52:29,Energy Drink,Virtual Riot,303777,,44,"brostep, complextro, dubstep",The Classics,2017-05-05,3507Teuh1vj1L5eMAJj80O,35UO9mxnPTDxw97754NSNI,4FXGRMSHh2JjHxVwS8dhH1,
2024-08-27 09:57:33,So Baked,Virtual Riot,302896,,21,"brostep, complextro, dubstep",There Goes Your Money,2013-05-27,0Zcf7rkCeyCw5DgpDtGGs8,6dB09CJ2l65Gvnf89Yfmka,4FXGRMSHh2JjHxVwS8dhH1,
2024-08-27 10:00:38,Plume,Caravan Palace,185703,,37,"electro swing, nu jazz",Chronologic,2019-08-30,2h4XzgxmFvYR4XsCEcnY7J,36AWYqwFvbAbxxCFgbRfJo,37J1PlAkhRK7yrZUtqaUpQ,
2024-08-27 10:03:19,UNO,Little Big,160756,,53,"hard bass, russian rave",UNO,2020-03-12,1ucAgkQ4EQDCSXQ2kEk99k,60kZ537D8BGp3GNkGdY0fD,0pnd3MP2rxAzljR9AqXUJB,
2024-08-27 10:06:25,Destruction,Joywave,184413,,51,"indietronica, modern alternative rock, modern rock, rochester ny indie, shimmer pop",How Do You Feel Now?,2015-04-14,2iLxXSM7AOzB4RCNzk4bjd,6uSfC7gekwOjvPmTAIwgQR,1UfzhwcOR4yfX7yHTPfC9m,
2024-08-27 10:09:48,Burn It All Down,"League of Legends, PVRIS",201840,,61,"speedrun, video game music",Burn It All Down,2021-09-28,0ked784BOZ1JtRVHux98jE,5naDVIaa86uI8sLdEJrTko,"47mIJdHORyRerp4os813jD, 6oFs3qk4VepIVFdoD4jmsy",
2024-08-27 10:14:18,Momotaro,WEDNESDAY CAMPANELLA,270666,,38,"hyperpop, japanese dance pop, japanese electropop",Watashi Wo Onigashima Ni Tsuretette,2014,7MRDg3WyBuOO2dA7mn1IYV,3dWGK7pWH21zv6HOEelBYV,0bp9CvkjQYhUJvWRHjFRWI,
2024-08-27 10:17:11,HOUDINI,AViVA,172595,,43,"alt z, vapor pop",VOLUME II,2021-10-29,6fLnUMg1fX8TdmXxl24SAy,2OFJ3B3DyRkIr1zWNnGtBu,50tDsT4wwq8FCMJNkn1D67,
2024-08-27 10:20:29,WONDERLAND,Neoni,197333,,61,dark r&b,Wars In A Wonderland,2021-08-20,1fh4rarBaLB8l5ALt1UvPv,2npzGBEPDOfVLN8ajYm3pZ,38wxcfNEqMwuPniHvplin5,
2024-08-27 10:24:20,Playground (from the series Arcane League of Legends),"Bea Miller, Arcane, League of Legends",230525,,60,"alt z, pop, talent show",Playground (from the series Arcane League of Legends),2021-11-05,5f2zZawBtGBEw24ABweErz,118EoTgIkMLl9fcutZfgaq,"1o2NpYGqHiCq7FoiYdyd1x, 57nPqD7z62gDdq37US9XJR, 47mIJdHORyRerp4os813jD",
